Material,Stock,Ord_qty,Net_value,Zero_out
90000002523,300,77,6046.93,1
90000002934,10,100,11433.45,0
90000008297,150,23,2452.03,1
90000008300,250,30,3397.5,0
90000008304,200,30,3475.5,1
90000008313,15,5,662.35,0
90000020038,100,31,2037.88,1
90000020142,85,33,1824.6,0
90000020168,35,19,1644.07,1
90000020169,100,21,6000.45,0
90000003097,75,17,3053.2,1
90000008304,80,30,3475.5,0
90000020036,100,26,1798.68,0
90000020038,150,31,2037.88,0
90000020136,18,24,1318.68,1
90000020213,17,11,739.2,1
90000020269,10,12,1037.28,1
90000022301,9,14,2116.63,1
90000023627,150,59,10606.43,0
